Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	452.027607004	457.606574104	0.000	186.874	RUM	3	N	0
2	Spectrogram 1	1	677.417879477	681.815418251	0.000	207.916	RUM	3	N	0
3	Spectrogram 1	1	1607.333253408	1612.977855415	0.000	161.323	RUM	2	N	0
4	Spectrogram 1	1	1710.380058207	1714.974501701	0.000	156.313	RUM	3	N	1
5	Spectrogram 1	1	1766.432269550	1771.157982858	0.000	153.808	RUM	2	N	1
6	Spectrogram 1	1	2047.284038713	2051.287768044	0.000	154.810	RUM	2	N	0
7	Spectrogram 1	1	2627.759163175	2632.813051019	0.000	177.355	RUM	3	N	1
8	Spectrogram 1	1	3248.074676224	3250.831342321	0.000	156.313	RUM	2	N	0
9	Spectrogram 1	1	3320.141805601	3324.604979282	0.000	153.307	RUM	2	N	1
10	Spectrogram 1	1	3361.491797051	3363.854653705	0.000	131.764	RUM	0	N	12
11	Spectrogram 1	1	3414.656070769	3419.513053892	0.000	200.902	RUM	3	N	0
12	Spectrogram 1	1	3456.531142186	3461.256855495	0.000	171.844	RUM	2	N	0
13	Spectrogram 1	1	3472.742964231	3477.993756796	0.000	166.834	RUM	2	N	0
14	Spectrogram 1	1	3484.622882409	3489.086056089	0.000	169.339	RUM	2	N	0
