Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	1887.159535952	1894.121169132	0.000	149.691	RUM	1	N	1
2	Spectrogram 1	1	1972.741213854	1977.475124416	0.000	148.148	RUM	1	N	1
3	Spectrogram 1	1	2222.710257932	2229.114960457	0.000	151.749	RUM	3	N	1
4	Spectrogram 1	1	2236.355058965	2242.388474387	0.000	143.004	RUM	3	N	0
5	Spectrogram 1	1	2265.129810119	2271.812977971	0.000	144.033	RUM	1	N	1
6	Spectrogram 1	1	2279.981294236	2284.900848349	0.000	136.317	RUM	1	N	1
7	Spectrogram 1	1	2298.452827606	2303.465203496	0.000	157.407	RUM	2	N	0
8	Spectrogram 1	1	2322.122380418	2327.227578083	0.000	153.292	RUM	3	N	0
9	Spectrogram 1	1	2361.200348678	2365.655793914	0.000	163.580	RUM	3	N	0
10	Spectrogram 1	1	2415.315443930	2420.234998044	0.000	168.210	RUM	3	N	0
11	Spectrogram 1	1	2535.983753736	2542.295634486	0.000	162.037	RUM	3	N	0
