Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	375.556907321	379.362600126	0.000	125.000	RUM	0	N	1
2	Spectrogram 1	1	512.004918324	517.852690195	0.000	214.209	RUM	4	N	0
3	Spectrogram 1	1	738.768518469	745.080399219	0.000	210.470	RUM	3	N	0
4	Spectrogram 1	1	951.330386250	959.405880738	0.000	160.256	RUM	3	N	1
5	Spectrogram 1	1	1568.316734281	1573.978862600	0.000	1093.900	ROAR-RUM	3	N	1
6	Spectrogram 1	1	1582.332822416	1586.973911203	0.000	169.338	RUM	2	N	0
7	Spectrogram 1	1	2175.928082963	2182.518429040	0.000	165.064	RUM	2	N	0
8	Spectrogram 1	1	2483.446627995	2487.530786127	0.000	152.778	RUM	2	N	1
9	Spectrogram 1	1	2492.450340241	2497.648359682	0.000	153.312	RUM	2	N	1
10	Spectrogram 1	1	2591.305532073	2596.317907962	0.000	145.299	RUM	3	N	0
11	Spectrogram 1	1	2659.808003240	2665.655775111	0.000	172.009	RUM	4	N	0
12	Spectrogram 1	1	2675.216418012	2681.064189883	0.000	162.393	RUM	4	N	0
13	Spectrogram 1	1	2696.379782878	2703.527059610	0.000	147.436	RUM	3	N	0
14	Spectrogram 1	1	2735.736216466	2740.934235907	0.000	166.132	RUM	3	N	0
15	Spectrogram 1	1	2803.032003872	2808.137201537	0.000	158.120	RUM	3	N	0
16	Spectrogram 1	1	2834.127299419	2839.789427739	0.000	160.791	RUM	2	N	0
17	Spectrogram 1	1	2909.498581991	2913.768383674	0.000	159.722	RUM	3	N	0
18	Spectrogram 1	1	2917.388432928	2921.008482181	0.000	133.013	RUM	0	N	0
19	Spectrogram 1	1	2922.493630593	2926.856254053	0.000	158.120	RUM	3	N	0
20	Spectrogram 1	1	2932.982482607	2940.129759338	0.000	161.325	RUM	4	N	1
21	Spectrogram 1	1	2944.678026349	2948.483719154	0.000	194.979	RUM	1	N	0
22	Spectrogram 1	1	2947.926788500	2953.310451492	0.000	1393.162	ROAR	3	N	0
23	Spectrogram 1	1	2953.588916820	2957.208966073	0.000	154.915	RUM	0	N	0
24	Spectrogram 1	1	2964.356242805	2971.781984863	0.000	175.748	RUM	3	Y	1
25	Spectrogram 1	1	2969.461440470	2975.680499444	0.000	149.573	RUM	0	Y	0
26	Spectrogram 1	1	2976.980004304	2985.426785896	0.000	171.474	RUM	3	N	1
27	Spectrogram 1	1	2987.840151013	2992.666883351	0.000	1339.744	ROAR	3	N	0
28	Spectrogram 1	1	2992.945348678	2998.607476998	0.000	728.632	ROAR	3	Y	0
29	Spectrogram 1	1	2998.978764101	3006.868615038	0.000	169.338	RUM	3	Y	1
30	Spectrogram 1	1	2984.962675965	2987.190398583	99.893	1377.504	TMP	2	N	0
31	Spectrogram 1	1	3003.527031112	3006.775793262	0.000	598.321	ROAR	2	YT	0
32	Spectrogram 1	1	3003.451792524	3010.934171930	0.000	178.419	RUM	0	Y	1
33	Spectrogram 1	1	3010.671632301	3019.204170219	0.000	163.462	RUM	0	Y	0
34	Spectrogram 1	1	3021.304487245	3028.918136465	0.000	173.077	RUM	2	Y	1
35	Spectrogram 1	1	3032.068612003	3037.188134754	0.000	182.692	RUM	1	N	1
36	Spectrogram 1	1	3040.929324457	3046.639561371	0.000	193.910	RUM	2	N	0
37	Spectrogram 1	1	3059.175828809	3065.608049701	0.000	167.735	RUM	3	N	1
38	Spectrogram 1	1	3085.495426541	3089.499155871	0.000	154.915	RUM	1	N	0
39	Spectrogram 1	1	3105.448438288	3109.911611968	0.000	125.000	RUM	1	N	0
40	Spectrogram 1	1	3152.443032456	3157.037475950	0.000	143.162	RUM	2	N	0
41	Spectrogram 1	1	3186.835724468	3191.298898148	0.000	153.846	RUM	2	N	0
42	Spectrogram 1	1	3264.809994769	3267.435391052	0.000	159.722	RUM	2	N	0
43	Spectrogram 1	1	3356.501960647	3362.409102282	0.000	150.641	RUM	2	N	1
44	Spectrogram 1	1	3444.977816790	3451.081863146	0.000	178.419	RUM	3	N	1
45	Spectrogram 1	1	3575.394378545	3581.432789995	0.000	171.474	RUM	0	Y	0
46	Spectrogram 1	1	3578.741758805	3585.042709883	0.000	223.291	RUM	3	Y	0
