Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	374.681995917	380.808233115	0.000	50.613	RUM	0	N	0
2	Spectrogram 1	1	1376.693072393	1383.283418470	0.000	170.757	RUM	3	N	1
3	Spectrogram 1	1	1550.919546797	1556.488853340	0.000	158.487	RUM	3	N	0
4	Spectrogram 1	1	1562.150981660	1567.627466428	0.000	156.442	RUM	3	N	0
5	Spectrogram 1	1	1784.923244771	1790.121264212	0.000	131.902	RUM	1	N	0
6	Spectrogram 1	1	1834.768539017	1839.131162476	0.000	134.969	RUM	2	N	1
7	Spectrogram 1	1	1917.936850750	1922.206652433	0.000	142.638	RUM	2	N	1
8	Spectrogram 1	1	1931.860117110	1936.222740569	0.000	150.307	RUM	2	N	1
9	Spectrogram 1	1	1971.216550020	1977.528430770	0.000	134.458	RUM	0	N	0
10	Spectrogram 1	1	2000.269766501	2007.138577905	0.000	145.706	RUM	2	N	1
11	Spectrogram 1	1	2025.702933052	2030.808130717	0.000	145.706	RUM	2	N	0
12	Spectrogram 1	1	2073.691791782	2078.982632999	0.000	139.059	RUM	2	N	0
13	Spectrogram 1	1	2400.610087942	2405.622463832	0.000	156.953	RUM	2	N	1
