Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	765.588046078	770.321956641	0.000	146.392	RUM	2	N	0
2	Spectrogram 1	1	870.291009781	874.375167914	0.000	150.000	RUM	2	N	1
3	Spectrogram 1	1	951.045955345	953.737786842	0.000	141.237	RUM	1	N	0
4	Spectrogram 1	1	1057.927159418	1061.996523656	0.000	154.124	RUM	2	N	0
5	Spectrogram 1	1	1441.628826946	1448.061047838	0.000	161.340	RUM	3	N	1
6	Spectrogram 1	1	1461.713108507	1468.801678470	0.000	157.732	RUM	3	N	1
7	Spectrogram 1	1	1475.955883339	1482.191199510	0.000	164.433	RUM	3	N	1
8	Spectrogram 1	1	1487.835801518	1492.430245012	0.000	166.495	RUM	3	N	0
9	Spectrogram 1	1	1501.225323270	1506.410480928	0.000	149.485	RUM	3	N	1
10	Spectrogram 1	1	1516.255716987	1518.487303827	0.000	36.598	RUM	1	N	0
11	Spectrogram 1	1	1534.633490965	1538.768490109	0.000	139.691	RUM	1	N	1
12	Spectrogram 1	1	1567.779119743	1574.605150077	0.000	158.763	RUM	3	N	0
13	Spectrogram 1	1	1579.265228478	1585.434909742	0.000	159.794	RUM	3	N	0
14	Spectrogram 1	1	1610.507444240	1615.561332084	0.000	144.330	RUM	2	N	1
15	Spectrogram 1	1	1642.537279598	1646.934818371	0.000	152.577	RUM	2	N	1
16	Spectrogram 1	1	1704.299727855	1709.287980792	0.000	134.021	RUM	1	N	1
17	Spectrogram 1	1	2962.849083290	2964.686860688	0.000	114.948	RUM	1	N	0
18	Spectrogram 1	1	3358.496307330	3364.665988594	0.000	176.289	RUM	2	N	1
19	Spectrogram 1	1	3370.573130230	3376.414636958	0.000	166.495	RUM	2	N	1
