Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	31.045311040	36.427373419	0.000	145.492	RUM	2	N	1
2	Spectrogram 1	1	40.824912193	44.106657546	0.000	148.053	RUM	2	N	1
3	Spectrogram 1	1	72.067128666	76.595937253	0.000	143.955	RUM	1	N	1
4	Spectrogram 1	1	94.251727253	98.649266026	0.000	147.029	RUM	0	N	1
5	Spectrogram 1	1	115.320532420	120.111880635	0.000	158.811	RUM	2	N	1
6	Spectrogram 1	1	139.933623280	143.477908261	0.000	135.246	RUM	1	N	1
7	Spectrogram 1	1	179.380202424	183.646471383	0.000	140.369	RUM	2	N	1
8	Spectrogram 1	1	222.305432354	226.702971127	0.000	125.000	RUM	0	N	1
9	Spectrogram 1	1	268.118596482	272.844309790	0.000	135.246	RUM	0	N	0
10	Spectrogram 1	1	303.692716109	306.908826555	0.000	126.025	RUM	0	N	0
11	Spectrogram 1	1	313.144142726	315.178824845	0.000	139.857	RUM	2	N	0
12	Spectrogram 1	1	333.097155185	336.772709980	0.000	157.787	RUM	2	N	0
13	Spectrogram 1	1	362.764133177	366.308418158	0.000	141.393	RUM	1	N	1
14	Spectrogram 1	1	381.732621318	386.261429905	0.000	132.172	RUM	1	N	1
15	Spectrogram 1	1	394.793968535	401.488729055	0.000	149.078	RUM	2	N	1
16	Spectrogram 1	1	425.051660691	429.711739092	0.000	149.590	RUM	2	N	1
17	Spectrogram 1	1	459.575622517	463.644986755	0.000	139.857	RUM	0	N	0
18	Spectrogram 1	1	473.424587907	477.297047424	0.000	138.320	RUM	0	N	1
19	Spectrogram 1	1	494.559027981	496.528075193	0.000	61.988	RUM	1	N	0
20	Spectrogram 1	1	1112.774223002	1119.862792965	0.000	534.677	RUM	4	N	0
21	Spectrogram 1	1	1126.360648764	1133.777393262	0.000	547.718	RUM	3	N	0
22	Spectrogram 1	1	1136.074615009	1140.275249061	0.000	158.664	RUM	3	Y	0
23	Spectrogram 1	1	1139.553265083	1142.835010436	0.000	175.205	RUM	0	Y	0
24	Spectrogram 1	1	1163.378737058	1167.645006017	0.000	150.615	RUM	2	N	0
25	Spectrogram 1	1	1256.186496356	1258.877527545	0.000	52.254	RUM	1	N	0
26	Spectrogram 1	1	1317.948944613	1319.721087104	0.000	46.107	RUM	1	N	0
27	Spectrogram 1	1	2354.389771703	2359.574929361	0.000	147.029	RUM	3	N	1
28	Spectrogram 1	1	2390.488971299	2393.048732675	0.000	143.443	RUM	2	N	0
29	Spectrogram 1	1	2757.256836232	2760.669851399	0.000	144.467	RUM	2	N	0
30	Spectrogram 1	1	2868.639274940	2874.349511854	0.000	143.443	RUM	1	N	1
31	Spectrogram 1	1	2951.601798178	2954.621003903	0.000	138.320	RUM	1	N	1
32	Spectrogram 1	1	3001.221787917	3006.210040854	0.000	171.107	RUM	3	N	0
33	Spectrogram 1	1	3015.530198368	3019.599562606	0.000	172.643	RUM	2	N	0
34	Spectrogram 1	1	3063.968759780	3067.119235319	0.000	124.488	RUM	0	N	0
35	Spectrogram 1	1	3174.891754138	3180.470721238	0.000	174.693	RUM	3	N	0
