Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	378.620025920	383.075471155	0.000	151.685	RUM	0	N	1
2	Spectrogram 1	1	555.352688268	560.365064157	0.000	168.071	RUM	1	N	1
3	Spectrogram 1	1	607.498518562	610.452089380	0.000	152.622	RUM	0	N	1
4	Spectrogram 1	1	695.777469405	699.978103457	0.000	139.513	RUM	0	N	1
5	Spectrogram 1	1	849.756962796	852.776168521	0.000	140.449	RUM	0	N	1
6	Spectrogram 1	1	970.656463028	974.266382916	0.000	143.727	RUM	0	N	1
7	Spectrogram 1	1	2502.575207509	2508.351079331	0.000	157.772	RUM	1	N	1
8	Spectrogram 1	1	2550.948134726	2554.820594243	0.000	140.449	RUM	0	N	1
9	Spectrogram 1	1	2667.056286742	2670.338032095	0.000	143.258	RUM	0	N	1
10	Spectrogram 1	1	2861.138709060	2864.748628948	0.000	132.959	RUM	0	N	1
