Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	1176.516015530	1183.292005158	0.000	569.482	RUM	4	N	0
2	Spectrogram 1	1	1390.233132296	1397.190432445	0.000	170.054	RUM	2	N	0
3	Spectrogram 1	1	1397.682694248	1400.340907984	0.000	170.582	RUM	2	N	0
4	Spectrogram 1	1	1974.742527779	1978.037700817	0.000	150.447	RUM	2	N	1
5	Spectrogram 1	1	2191.806251497	2196.400929396	0.000	149.888	RUM	3	N	1
6	Spectrogram 1	1	2267.966519060	2271.818622753	0.000	149.329	RUM	2	N	0
7	Spectrogram 1	1	2363.897825427	2369.235077532	0.000	154.922	RUM	3	N	0
8	Spectrogram 1	1	2690.119960832	2694.621816955	0.000	166.667	RUM	3	N	0
9	Spectrogram 1	1	3033.514124173	3039.733183147	0.000	185.123	RUM	4	N	0
10	Spectrogram 1	1	3112.366223806	3117.192956144	0.000	181.767	RUM	3	N	0
