Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	2.625396282	10.396038882	0.000	138.951	RUM	2	N	1
2	Spectrogram 1	1	27.501026059	32.883088438	0.000	147.829	RUM	2	N	1
3	Spectrogram 1	1	62.878240965	69.638636393	0.000	154.390	RUM	2	N	2
4	Spectrogram 1	1	80.468396770	84.997205357	0.000	158.636	RUM	2	N	1
5	Spectrogram 1	1	96.286409372	102.718630264	0.000	150.530	RUM	2	N	2
6	Spectrogram 1	1	120.571324985	125.034498665	0.000	148.215	RUM	3	N	0
7	Spectrogram 1	1	141.705765770	147.284732871	0.000	148.986	RUM	2	N	2
8	Spectrogram 1	1	168.944252201	175.770282536	0.000	163.654	RUM	3	N	2
9	Spectrogram 1	1	185.221709152	190.144327182	0.000	142.425	RUM	1	N	1
10	Spectrogram 1	1	207.800117894	211.935117038	0.000	155.162	RUM	2	N	1
11	Spectrogram 1	1	229.328367410	235.629318488	0.000	140.881	RUM	2	N	2
12	Spectrogram 1	1	247.837411201	256.041774584	0.000	148.215	RUM	2	N	2
13	Spectrogram 1	1	278.423276891	283.870974177	0.000	151.302	RUM	2	N	1
14	Spectrogram 1	1	300.017161314	306.121207671	0.000	152.074	RUM	2	N	0
15	Spectrogram 1	1	355.544293400	358.957308567	0.000	163.654	RUM	2	N	0
16	Spectrogram 1	1	369.458893697	374.447146634	0.000	149.758	RUM	2	N	0
17	Spectrogram 1	1	389.740079979	394.400158381	0.000	159.022	RUM	1	N	1
18	Spectrogram 1	1	422.951343665	428.924120207	0.000	144.355	RUM	2	N	1
19	Spectrogram 1	1	437.850467568	441.460387456	0.000	161.724	RUM	2	N	1
20	Spectrogram 1	1	464.563875454	471.258635974	0.000	144.355	RUM	2	N	2
21	Spectrogram 1	1	514.183865193	519.631562479	0.000	135.863	RUM	0	N	1
22	Spectrogram 1	1	532.102195532	537.484257911	0.000	152.460	RUM	1	N	1
23	Spectrogram 1	1	549.232906275	553.564810141	0.000	159.794	RUM	2	N	1
24	Spectrogram 1	1	579.621868245	586.119724044	0.000	143.969	RUM	2	N	1
25	Spectrogram 1	1	606.532180852	612.570592302	0.000	153.618	RUM	1	N	2
26	Spectrogram 1	1	639.087094755	646.832013788	0.000	153.232	RUM	3	N	2
27	Spectrogram 1	1	657.858678886	664.093995057	0.000	146.671	RUM	2	N	1
28	Spectrogram 1	1	671.248199927	677.942960447	0.000	146.285	RUM	2	N	1
29	Spectrogram 1	1	689.691608812	695.926924982	0.000	170.987	RUM	3	N	1
30	Spectrogram 1	1	715.486127999	720.277476214	0.000	154.004	RUM	0	N	2
31	Spectrogram 1	1	728.613109411	732.354299114	0.000	172.531	RUM	2	N	0
32	Spectrogram 1	1	754.341992979	760.446039336	0.000	143.197	RUM	0	N	2
33	Spectrogram 1	1	809.081506181	813.479044954	0.000	140.881	RUM	0	N	1
34	Spectrogram 1	1	826.474756552	833.760231236	0.000	143.583	RUM	0	N	2
35	Spectrogram 1	1	869.662526111	874.847683769	0.000	221.550	RUM	3	N	0
36	Spectrogram 1	1	900.117122988	905.696090088	0.000	166.741	RUM	3	N	0
37	Spectrogram 1	1	929.455927156	934.378545186	0.000	148.472	RUM	0	N	0
38	Spectrogram 1	1	1006.248767417	1013.206067565	0.000	162.664	RUM	2	N	0
39	Spectrogram 1	1	1033.027810210	1037.294079169	0.000	146.834	RUM	1	N	0
40	Spectrogram 1	1	1097.284384935	1104.832399247	0.000	151.201	RUM	0	N	2
41	Spectrogram 1	1	1158.193579401	1162.394213453	0.000	152.838	RUM	0	Y	0
42	Spectrogram 1	1	1400.189483873	1405.505911345	0.000	148.472	RUM	0	Y	0
43	Spectrogram 1	1	1483.512999298	1488.960696584	0.000	206.332	RUM	1	N	1
44	Spectrogram 1	1	1544.816003205	1549.213541979	0.000	167.031	RUM	0	N	1
45	Spectrogram 1	1	1592.204406816	1597.323929567	0.000	179.585	RUM	3	N	0
46	Spectrogram 1	1	1608.416228860	1612.354323284	0.000	177.402	RUM	2	N	1
47	Spectrogram 1	1	1651.275823883	1656.789156077	0.000	219.432	RUM	3	N	0
48	Spectrogram 1	1	1675.166930054	1682.977483994	0.000	216.157	RUM	3	N	1
49	Spectrogram 1	1	1697.482798455	1703.849384440	0.000	137.555	RUM	0	Y	1
50	Spectrogram 1	1	1755.569691917	1761.411198645	0.000	174.672	RUM	3	N	1
51	Spectrogram 1	1	1780.182782777	1785.630480063	0.000	148.472	RUM	1	Y	1
52	Spectrogram 1	1	1813.000236308	1817.922854337	0.000	159.389	RUM	1	N	1
53	Spectrogram 1	1	1856.384908874	1862.882764673	0.000	155.022	RUM	0	Y	1
54	Spectrogram 1	1	1932.652671592	1939.413067019	0.000	165.393	RUM	0	Y	1
55	Spectrogram 1	1	1984.307344161	1990.083215983	0.000	146.288	RUM	0	Y	1
56	Spectrogram 1	1	2039.900111155	2047.691715698	0.000	164.847	RUM	1	Y	1
58	Spectrogram 1	1	2085.450736656	2090.176449964	0.000	168.668	RUM	3	N	0
59	Spectrogram 1	1	2120.696682460	2126.210014653	0.000	186.135	RUM	3	N	1
60	Spectrogram 1	1	2152.857787632	2159.880722687	0.000	156.114	RUM	3	N	1
61	Spectrogram 1	1	2175.304925847	2181.868416553	0.000	166.485	RUM	3	N	1
62	Spectrogram 1	1	2202.018333021	2208.450553913	0.000	161.572	RUM	3	N	1
63	Spectrogram 1	1	2221.249361502	2227.419042766	0.000	171.943	RUM	3	N	1
64	Spectrogram 1	1	2267.128161538	2272.838398453	0.000	152.293	RUM	0	Y	1
65	Spectrogram 1	1	2513.718510217	2518.181683898	0.000	160.480	RUM	2	N	0
66	Spectrogram 1	1	2653.717768404	2658.443481713	0.000	150.655	RUM	3	N	0
67	Spectrogram 1	1	2859.877014333	2864.077648385	0.000	175.218	RUM	3	N	0
68	Spectrogram 1	1	3016.284999285	3019.698014452	0.000	145.742	RUM	3	N	0
