Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	474.226455601	481.559375884	0.000	48.689	RUM	0	N	0
2	Spectrogram 1	1	647.246246920	651.237583276	0.000	155.431	RUM	2	N	0
3	Spectrogram 1	1	882.920736684	888.675686779	0.000	136.236	RUM	3	N	0
4	Spectrogram 1	1	925.738681730	929.808045968	0.000	187.266	RUM	0	N	0
5	Spectrogram 1	1	948.185819892	952.452088851	0.000	174.157	RUM	0	Y	1
6	Spectrogram 1	1	969.714069125	974.702322061	0.000	199.906	RUM	2	N	0
7	Spectrogram 1	1	1005.944537823	1010.932790760	0.000	54.775	RUM	0	N	0
8	Spectrogram 1	1	1052.807862177	1056.942861322	0.000	205.993	RUM	3	N	1
9	Spectrogram 1	1	1140.889908166	1146.009430917	0.000	143.727	RUM	1	N	1
10	Spectrogram 1	1	1196.942119509	1200.223864862	0.000	135.300	RUM	0	N	0
11	Spectrogram 1	1	1203.571245122	1206.656085754	0.000	159.176	RUM	0	N	0
12	Spectrogram 1	1	1220.439416948	1223.721162302	0.000	161.985	RUM	0	N	0\
13	Spectrogram 1	1	1387.020812495	1391.615255990	0.000	151.217	RUM	2	N	0
14	Spectrogram 1	1	1462.041511979	1464.732543169	0.000	144.663	RUM	2	N	0
15	Spectrogram 1	1	1617.661878758	1622.256322252	0.000	159.176	RUM	3	N	0
16	Spectrogram 1	1	1937.566419337	1939.666736363	0.000	132.022	RUM	0	N	0
17	Spectrogram 1	1	2242.309296385	2248.150803113	0.000	148.876	RUM	2	N	1
18	Spectrogram 1	1	2276.767622592	2281.558970808	0.000	136.236	RUM	2	N	1
19	Spectrogram 1	1	2328.684834790	2331.178961258	0.000	138.577	RUM	0	N	0
20	Spectrogram 1	1	2336.364118916	2339.645864269	0.000	176.966	RUM	1	Y	1
21	Spectrogram 1	1	2367.475063862	2370.888079029	0.000	131.086	RUM	0	N	1
22	Spectrogram 1	1	2482.204882118	2487.783849218	0.000	150.749	RUM	2	N	0
23	Spectrogram 1	1	2650.427151053	2654.430880384	0.000	145.131	RUM	2	N	0
24	Spectrogram 1	1	2701.753649087	2705.494838790	0.000	138.577	RUM	1	N	1
25	Spectrogram 1	1	2836.502114709	2839.455685527	0.000	117.041	RUM	0	N	0
26	Spectrogram 1	1	2850.744889542	2853.567190545	0.000	127.809	RUM	0	N	0
27	Spectrogram 1	1	3117.353884874	3120.701265135	0.000	134.831	RUM	1	N	1
28	Spectrogram 1	1	3160.476019526	3164.217209228	0.000	140.918	RUM	2	N	1
