Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	252.382409570	257.951716114	0.000	205.852	RUM	3	N	1
2	Spectrogram 1	1	725.036667509	728.384047769	0.000	215.092	RUM	0	Y	1
3	Spectrogram 1	1	726.808810000	732.519046914	0.000	203.285	RUM	2	Y	1
4	Spectrogram 1	1	733.241030892	737.179125315	0.000	195.585	RUM	2	Y	0
5	Spectrogram 1	1	861.491640714	868.974020119	0.000	196.612	RUM	4	N	0
6	Spectrogram 1	1	937.825038339	945.307417744	0.000	161.191	RUM	3	N	0
7	Spectrogram 1	1	967.426380422	974.711855106	0.000	153.491	RUM	3	RUM	2
8	Spectrogram 1	1	1019.868671165	1024.791289195	0.000	155.031	RUM	2	N	0
9	Spectrogram 1	1	1048.682396077	1056.033505668	0.000	154.517	RUM	3	N	1
10	Spectrogram 1	1	1086.488102545	1091.148180946	0.000	131.930	RUM	2	N	1
11	Spectrogram 1	1	1108.016352773	1114.776748200	0.000	148.871	RUM	2	N	2
12	Spectrogram 1	1	1153.829518614	1159.211580993	0.000	150.411	RUM	2	N	1
13	Spectrogram 1	1	1180.739830509	1186.778241959	0.000	191.992	RUM	3	N	1
14	Spectrogram 1	1	1189.994352405	1195.048240249	0.000	182.752	RUM	3	N	1
15	Spectrogram 1	1	1221.105299064	1228.259503934	0.000	161.704	RUM	3	N	1
16	Spectrogram 1	1	1245.849659026	1251.100451591	0.000	143.224	RUM	2	N	1
17	Spectrogram 1	1	1261.995846164	1266.393384937	0.000	145.277	RUM	2	N	1
18	Spectrogram 1	1	1292.909888102	1299.079569365	0.000	150.411	RUM	3	N	2
19	Spectrogram 1	1	1326.843135053	1332.487737060	0.000	145.277	RUM	3	N	2
20	Spectrogram 1	1	1372.984475429	1377.644553830	0.000	142.710	RUM	2	N	1
21	Spectrogram 1	1	1398.253914648	1403.570342120	0.000	171.971	RUM	3	N	1
22	Spectrogram 1	1	1450.696206102	1455.684459039	0.000	138.604	RUM	N	N	1
23	Spectrogram 1	1	1479.772470642	1485.876516999	0.000	175.051	RUM	3	N	1
24	Spectrogram 1	1	1516.199844062	1520.794287556	0.000	145.791	RUM	2	N	2
25	Spectrogram 1	1	1544.225950089	1552.036504029	0.000	175.051	RUM	3	N	1
26	Spectrogram 1	1	1571.595706334	1575.271261129	0.000	143.224	RUM	0	N	1
27	Spectrogram 1	1	1598.637288755	1604.938239833	0.000	163.244	RUM	3	N	2
28	Spectrogram 1	1	1621.150061877	1627.451012955	0.000	171.458	RUM	3	N	1
29	Spectrogram 1	1	1643.137755743	1648.847992658	0.000	176.591	RUM	2	N	1
30	Spectrogram 1	1	1676.086479800	1680.812193108	0.000	200.719	RUM	2	N	1
31	Spectrogram 1	1	1696.630205710	1702.340442625	0.000	168.891	RUM	2	N	1
32	Spectrogram 1	1	1722.752899433	1729.053850511	0.000	144.251	RUM	2	N	2
33	Spectrogram 1	1	1748.744322629	1752.682417053	0.000	146.817	RUM	1	N	2
34	Spectrogram 1	1	1760.624240808	1767.581540956	0.000	199.692	RUM	3	N	0
35	Spectrogram 1	1	1771.060189296	1773.882490299	0.000	380.415	ROAR	1	Y	0
36	Spectrogram 1	1	1772.372887437	1777.820584723	0.000	679.519	ROAR-RUM	3	Y	0
37	Spectrogram 1	1	1786.746933372	1792.194630658	0.000	163.346	RUM	2	N	1
38	Spectrogram 1	1	1824.749545273	1830.722321816	0.000	163.758	RUM	2	N	1
39	Spectrogram 1	1	1855.532316685	1861.176918692	0.000	195.585	RUM	3	N	0
