Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	150.158695192	154.884408500	0.000	212.831	RUM	3	N	1
2	Spectrogram 1	1	157.575439690	161.119724671	0.000	149.185	RUM	3	N	
3	Spectrogram 1	1	170.571151288	175.953213667	0.000	155.804	RUM	3	N	1
4	Spectrogram 1	1	182.976148723	189.014560173	0.000	165.479	RUM	3	N	1
5	Spectrogram 1	1	202.863525563	207.983048314	0.000	161.405	RUM	3	N	1
6	Spectrogram 1	1	214.415269917	219.666062482	0.000	143.075	RUM	2	N	1
7	Spectrogram 1	1	232.727408988	236.665503412	0.000	133.401	RUM	1	N	1
8	Spectrogram 1	1	278.606209736	283.528827765	0.000	178.717	RUM	3	N	0
9	Spectrogram 1	1	317.658979438	322.319057839	0.000	144.094	RUM	3	N	0
10	Spectrogram 1	1	736.081516940	741.069769877	0.000	162.424	RUM	3	N	0
11	Spectrogram 1	1	1261.226410610	1267.067917339	0.000	155.295	RUM	2	N	0
12	Spectrogram 1	1	1269.693313621	1273.303233510	0.000	155.295	RUM	3	N	0
13	Spectrogram 1	1	2165.281628733	2168.169564644	0.000	181.772	RUM	2	N	0
14	Spectrogram 1	1	2180.705831893	2183.921942339	0.000	148.167	RUM	0	N	0
15	Spectrogram 1	1	2712.939297951	2716.483582932	0.000	172.098	RUM	3	N	0
16	Spectrogram 1	1	3077.081766601	3079.707162884	0.000	158.859	RUM	2	N	0
17	Spectrogram 1	1	3088.896049872	3093.884302809	0.000	165.479	RUM	3	N	0
