Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	234.995103383	238.568741748	0.000	172.804	RUM	2	N	1
2	Spectrogram 1	1	529.193722593	533.881222268	0.000	198.626	RUM	3	N	1
3	Spectrogram 1	1	681.560669180	685.784059976	0.000	167.508	RUM	3	N	0
4	Spectrogram 1	1	803.574893401	808.958556393	0.000	176.115	RUM	4	N	0
5	Spectrogram 1	1	844.045188194	848.129346326	0.000	150.955	RUM	2	N	1
6	Spectrogram 1	1	899.134912665	904.843451873	0.000	152.942	RUM	3	N	1
7	Spectrogram 1	1	914.636149213	920.437510196	0.000	158.238	RUM	3	N	1
8	Spectrogram 1	1	934.175133579	940.626246992	0.000	152.280	RUM	3	N	1
9	Spectrogram 1	1	957.798275502	963.506814710	0.000	161.549	RUM	3	N	0
10	Spectrogram 1	1	1014.744436063	1018.828594195	0.000	150.955	RUM	3	N	0
11	Spectrogram 1	1	1039.713493735	1044.633047848	0.000	143.010	RUM	2	N	0
12	Spectrogram 1	1	1071.551361682	1074.753712945	0.000	132.752	RUM	1	Y	1
13	Spectrogram 1	1	1129.332917650	1133.277843119	0.000	205.901	RUM	4	N	0
14	Spectrogram 1	1	1161.913361506	1167.064970059	0.000	146.298	RUM	1	N	1
15	Spectrogram 1	1	1249.769173385	1253.017935536	0.000	138.848	RUM	2	N	1
16	Spectrogram 1	1	1297.618799349	1303.884269211	0.000	146.298	RUM	1	N	1
17	Spectrogram 1	1	1399.165823149	1406.545154320	0.000	170.004	RUM	3	N	1
18	Spectrogram 1	1	1569.911480203	1575.109499644	0.000	159.844	RUM	3	N	1
19	Spectrogram 1	1	1599.660858197	1606.204793386	0.000	149.007	RUM	3	N	2
20	Spectrogram 1	1	1632.937464797	1637.439320920	0.000	149.007	RUM	3	N	1
21	Spectrogram 1	1	1667.188700616	1672.293898281	0.000	153.748	RUM	3	N	1
22	Spectrogram 1	1	1715.456024571	1720.654044012	0.000	150.362	RUM	3	N	0
23	Spectrogram 1	1	1788.460352333	1794.076069765	0.000	151.716	RUM	3	N	1
24	Spectrogram 1	1	1796.860723037	1800.712826730	0.000	158.489	RUM	3	N	1
25	Spectrogram 1	1	1831.808120472	1837.006139913	0.000	145.621	RUM	2	N	1
26	Spectrogram 1	1	1952.801306861	1960.180638032	0.000	218.092	ROAR-RUM	3	N	1
27	Spectrogram 1	1	1975.774696355	1981.993755329	0.000	165.263	RUM	3	N	1
28	Spectrogram 1	1	2101.873080410	2110.227040226	0.000	170.681	RUM	2	N	1
29	Spectrogram 1	1	2117.977658499	2124.196717473	0.000	154.426	RUM	2	N	1
30	Spectrogram 1	1	2131.947336321	2139.651543707	0.000	152.394	RUM	2	N	1
31	Spectrogram 1	1	2154.595849600	2160.257977920	0.000	143.589	RUM	2	N	1
32	Spectrogram 1	1	2175.016640835	2183.045724436	0.000	138.848	RUM	1	Y	2
33	Spectrogram 1	1	2191.399684252	2195.205377057	0.000	156.458	RUM	1	Y	1
34	Spectrogram 1	1	2251.054880250	2259.223196515	0.000	152.394	RUM	1	N 	2
36	Spectrogram 1	1	2280.015273892	2286.652030857	0.000	165.336	RUM	3	N	1
37	Spectrogram 1	1	2295.330866888	2303.452772264	0.000	170.503	RUM	1	N	2
38	Spectrogram 1	1	2320.160692470	2326.286929669	0.000	174.931	RUM	1	N	2
39	Spectrogram 1	1	2467.283208729	2472.852515272	0.000	225.861	RUM	3	N	1
40	Spectrogram 1	1	2723.842596318	2729.411902862	0.000	163.860	RUM	3	N	1
41	Spectrogram 1	1	3012.936020856	3015.256565249	0.000	247.266	RUM	0	Y	0
42	Spectrogram 1	1	3014.560401931	3021.568445999	0.000	759.916	ROAR-RUM	3	Y	0
43	Spectrogram 1	1	3019.572777821	3025.095673477	0.000	168.058	RUM	0	Y	0
44	Spectrogram 1	1	3033.774509508	3036.605573668	0.000	187.370	RUM	1	Y	0
45	Spectrogram 1	1	3035.816588574	3039.807924931	0.000	156.054	RUM	1	Y	0
