Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	1751.082812051	1755.538257287	0.000	153.727	RUM	2	N	1
2	Spectrogram 1	1	1759.622415419	1762.778355794	0.000	155.797	RUM	1	N	1
3	Spectrogram 1	1	1908.922759953	1911.745060956	0.000	154.762	RUM	1	N	0
4	Spectrogram 1	1	1944.365610478	1949.025688879	0.000	178.571	RUM	3	N	1
5	Spectrogram 1	1	1962.874654269	1967.797272299	0.000	158.903	RUM	3	N	0
6	Spectrogram 1	1	2036.057577067	2040.258211119	0.000	147.516	RUM	2	N	1
7	Spectrogram 1	1	2111.537720900	2114.097482275	0.000	140.269	RUM	0	N	1
8	Spectrogram 1	1	2124.336527777	2126.436844803	0.000	122.671	RUM	0	N	1
9	Spectrogram 1	1	2202.179528264	2206.905241573	0.000	151.139	RUM	1	N	1
10	Spectrogram 1	1	2214.847065327	2219.900953171	0.000	147.516	RUM	2	N	1
11	Spectrogram 1	1	2268.339515295	2272.211974811	0.000	127.329	RUM	1	N	0
12	Spectrogram 1	1	2288.883241917	2294.987288273	0.000	108.696	RUM	0	N	1
13	Spectrogram 1	1	2302.338397864	2308.836253664	0.000	100.414	RUM	0	N	1
14	Spectrogram 1	1	2325.376250243	2329.314344667	0.000	116.977	RUM	1	N	1
15	Spectrogram 1	1	2367.842035824	2373.355368017	0.000	121.118	RUM	0	N	1
16	Spectrogram 1	1	2406.107186641	2410.307820693	0.000	118.530	RUM	0	N	0
17	Spectrogram 1	1	2447.654083523	2452.511066646	0.000	119.048	RUM	0	N	1
18	Spectrogram 1	1	2476.402172816	2480.274632333	0.000	126.812	RUM	0	N	0
19	Spectrogram 1	1	2626.443572495	2630.053492384	0.000	116.460	RUM	0	N	0
20	Spectrogram 1	1	2677.507530901	2681.379990418	0.000	108.178	RUM	1	N	1
21	Spectrogram 1	1	2998.921674343	3003.581752744	0.000	120.600	RUM	0	N	1
22	Spectrogram 1	1	3051.429599992	3053.989361368	0.000	124.741	RUM	0	N	0
23	Spectrogram 1	1	3558.327992926	3561.741008093	0.000	143.892	RUM	1	N	0
