Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	91.443775579	95.513608626	0.000	196.535	RUM	3	N	1
2	Spectrogram 1	1	254.940329609	257.893900427	0.000	40.594	RUM	1	N	0
3	Spectrogram 1	1	310.730001324	316.768412773	0.000	170.792	RUM	1	Y	1
4	Spectrogram 1	1	314.602460840	321.165951546	0.000	175.248	RUM	1	Y	1
5	Spectrogram 1	1	326.613648833	333.767853702	0.000	171.782	RUM	1	N	2
6	Spectrogram 1	1	340.856423665	346.304120951	0.000	197.525	RUM	1	N	1
7	Spectrogram 1	1	352.605072587	357.133881174	0.000	217.327	RUM	2	N	2
8	Spectrogram 1	1	471.929335049	473.570207726	0.000	36.634	RUM	1	N	0
9	Spectrogram 1	1	1338.375749000	1340.869875469	0.000	149.505	RUM	2	N	0
10	Spectrogram 1	1	1400.400736886	1406.898592685	0.000	138.119	RUM	2	N	2
