Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	40.890545507	50.538876845	0.000	169.546	RUM	3	N	0
2	Spectrogram 1	1	50.932686287	55.133320339	0.000	148.488	RUM	3	N	0
3	Spectrogram 1	1	189.094167076	195.198213433	0.000	199.244	RUM	3	N	1
4	Spectrogram 1	1	296.275970018	301.723667305	0.000	164.687	RUM	3	N	1
5	Spectrogram 1	1	311.109459014	316.032077044	0.000	167.387	RUM	2	N	1
6	Spectrogram 1	1	337.560326560	342.154770055	0.000	153.888	RUM	2	N	1
7	Spectrogram 1	1	361.320163629	366.308416565	0.000	153.348	RUM	2	N	0
8	Spectrogram 1	1	389.674443479	394.531426602	0.000	150.648	RUM	2	N	0
9	Spectrogram 1	1	402.210710728	405.689360803	0.000	142.009	RUM	1	N	0
10	Spectrogram 1	1	429.646102592	435.093799878	0.000	159.827	RUM	3	N	0
11	Spectrogram 1	1	571.548771370	574.633612002	0.000	159.827	RUM	2	N	0
12	Spectrogram 1	1	607.057256802	611.717335204	0.000	145.248	RUM	2	N	1
13	Spectrogram 1	1	702.490412382	709.316442717	0.000	174.406	RUM	3	N	1
14	Spectrogram 1	1	754.867068929	760.117861494	0.000	158.747	RUM	3	N	0
15	Spectrogram 1	1	1293.926567035	1299.308629414	0.000	219.762	RUM	3	N	0
16	Spectrogram 1	1	1446.330822657	1451.581615222	0.000	175.486	RUM	3	N	0
17	Spectrogram 1	1	2102.220454331	2107.799421431	0.000	177.106	RUM	2	N	0
18	Spectrogram 1	1	2128.671322589	2133.987750061	0.000	166.307	RUM	3	N	0
19	Spectrogram 1	1	2139.960526604	2146.786556938	0.000	205.184	RUM	3	N	0
20	Spectrogram 1	1	3421.219561596	3427.520512674	0.000	212.203	RUM	4	N	0
21	Spectrogram 1	1	3445.635747023	3450.820904681	0.000	159.827	RUM	3	N	1
22	Spectrogram 1	1	3464.538600968	3470.117568069	0.000	172.786	RUM	2	N	0
23	Spectrogram 1	1	3480.225343756	3486.854469369	0.000	166.307	RUM	3	N	0
24	Spectrogram 1	1	3493.549229890	3499.128196990	0.000	178.726	RUM	3	N	1
25	Spectrogram 1	1	3508.317083979	3514.289860521	0.000	176.026	RUM	3	N	1
26	Spectrogram 1	1	3531.683111604	3535.555571121	0.000	158.207	RUM	2	N	1
27	Spectrogram 1	1	3562.925327366	3569.554452979	0.000	163.607	RUM	3	N	1
28	Spectrogram 1	1	3591.345242836	3598.958892055	0.000	164.147	RUM	3	N	1
