Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	0.649752430	7.425742059	0.000	160.256	RUM	3	N	1
2	Spectrogram 1	1	12.530939724	19.121285801	0.000	168.269	RUM	3	N	0
3	Spectrogram 1	1	31.466581973	37.035888517	0.000	158.120	RUM	0	N	1
4	Spectrogram 1	1	47.431927399	53.465342822	0.000	152.778	RUM	1	N	1
5	Spectrogram 1	1	62.469055068	69.894797126	0.000	163.996	RUM	3	N	1
6	Spectrogram 1	1	75.464103670	83.632419935	0.000	167.735	RUM	2	Y	1
7	Spectrogram 1	1	81.683162644	86.602716758	0.000	161.325	RUM	2	Y	1
8	Spectrogram 1	1	143.409644183	149.999990260	0.000	182.692	RUM	3	N	1
9	Spectrogram 1	1	207.271026564	210.983897593	0.000	131.410	RUM	1	N	1
10	Spectrogram 1	1	224.721520402	229.919539843	0.000	159.188	RUM	2	N	1
11	Spectrogram 1	1	251.082904710	257.487607235	0.000	157.051	RUM	3	N	1
12	Spectrogram 1	1	263.335379106	267.883646117	0.000	158.120	RUM	2	N	1
13	Spectrogram 1	1	276.144784157	282.735130234	0.000	152.244	RUM	2	N	0
14	Spectrogram 1	1	304.362604657	309.931911201	0.000	165.598	RUM	2	N	0
15	Spectrogram 1	1	335.365077752	339.820522987	0.000	161.325	RUM	2	N	0
16	Spectrogram 1	1	523.236353188	526.577937114	0.000	166.667	RUM	2	N	0
17	Spectrogram 1	1	591.181893701	597.122487347	0.000	176.282	RUM	3	N	0
18	Spectrogram 1	1	618.842782869	624.969020067	0.000	158.654	RUM	2	N	0
19	Spectrogram 1	1	641.955405026	647.060602691	0.000	160.256	RUM	3	N	0
20	Spectrogram 1	1	665.532136739	669.616294871	0.000	155.983	RUM	2	N	0
21	Spectrogram 1	1	687.438075812	693.657134786	0.000	174.145	RUM	3	N	0
22	Spectrogram 1	1	724.195499002	730.321736200	0.000	179.487	RUM	3	N	0
23	Spectrogram 1	1	738.675696693	743.502429031	0.000	165.064	RUM	2	N	0
24	Spectrogram 1	1	783.322970820	788.149703158	0.000	159.188	RUM	2	N	1
25	Spectrogram 1	1	861.664550215	868.904648722	0.000	165.598	RUM	3	N	0
26	Spectrogram 1	1	906.219002567	912.345239765	0.000	163.462	RUM	3	N	0
27	Spectrogram 1	1	1070.142259864	1076.825427717	0.000	167.735	RUM	3	N	1
28	Spectrogram 1	1	1162.314283843	1165.841511321	0.000	65.171	RUM	1	N	0
29	Spectrogram 1	1	1101.423198963	1105.878644198	0.000	116.453	RUM	0	N	1
30	Spectrogram 1	1	1249.938040811	1253.186802962	0.000	77.991	RUM	0	RUM	1
31	Spectrogram 1	1	1321.225165251	1327.351402449	0.000	147.436	RUM	2	N	1
32	Spectrogram 1	1	1483.663274136	1491.367481522	0.000	177.350	RUM	3	N	0
33	Spectrogram 1	1	1508.075401154	1516.243717418	0.000	176.816	RUM	3	N	1
34	Spectrogram 1	1	1604.238761489	1609.158315603	0.000	168.803	RUM	2	N	0
35	Spectrogram 1	1	1616.491235886	1621.132324672	0.000	157.051	RUM	3	N	0
36	Spectrogram 1	1	1688.335290979	1696.317963692	0.000	172.009	RUM	3	N	1
37	Spectrogram 1	1	1766.027117944	1772.431820470	0.000	160.791	RUM	3	N	0
38	Spectrogram 1	1	1795.173155524	1800.371174965	0.000	204.594	RUM	3	N	0
39	Spectrogram 1	1	1814.387263101	1819.678104318	0.000	201.923	RUM	3	N	0
40	Spectrogram 1	1	1857.735033045	1862.561765383	0.000	177.885	RUM	2	N	0
41	Spectrogram 1	1	1898.855079694	1905.352603995	0.000	174.145	RUM	3	N	1
42	Spectrogram 1	1	1916.584039536	1920.389732341	0.000	165.064	RUM	2	N	1
43	Spectrogram 1	1	1974.597649369	1978.681807501	0.000	140.491	RUM	0	N	1
44	Spectrogram 1	1	2004.486261831	2008.663241739	0.000	142.628	RUM	1	N	0
45	Spectrogram 1	1	2087.097642910	2092.852593006	0.000	173.077	RUM	3	N	1
46	Spectrogram 1	1	2127.939224232	2133.137243673	0.000	161.859	RUM	3	N	0
47	Spectrogram 1	1	2369.090199616	2375.309258590	0.000	164.530	RUM	3	N	1
48	Spectrogram 1	1	2439.913214499	2443.069154874	0.000	121.261	RUM	0	N	0
49	Spectrogram 1	1	2757.178046660	2763.397105634	0.000	181.624	RUM	3	N	0
50	Spectrogram 1	1	3021.534465976	3025.989911212	0.000	147.436	RUM	0	N	2
51	Spectrogram 1	1	3111.014658459	3117.326539209	0.000	234.509	RUM	4	N	0
52	Spectrogram 1	1	3304.362415206	3307.889642684	0.000	43.803	RUM	0	N	0
53	Spectrogram 1	1	3424.566615456	3432.642109945	0.000	182.692	RUM	3	N	0
54	Spectrogram 1	1	3464.015870819	3470.049286242	0.000	182.158	RUM	3	N	1
55	Spectrogram 1	1	3536.416856568	3541.243588906	0.000	169.872	RUM	3	N	0
