Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	1967.143804642	1969.769200924	0.000	136.842	RUM	0	N	1
2	Spectrogram 1	1	2537.117355099	2539.152037218	0.000	139.474	RUM	1	N	0
3	Spectrogram 1	1	2562.518064844	2567.178143245	0.000	234.211	RUM	1	Y	0
4	Spectrogram 1	1	2564.355842242	2569.081555550	0.000	194.211	RUM	1	Y	0
5	Spectrogram 1	1	2712.428193997	2715.316129908	0.000	177.368	RUM	2	N	0
6	Spectrogram 1	1	2736.384935075	2739.010331357	0.000	49.474	RUM	1	N	0
7	Spectrogram 1	1	2801.626033406	2805.039048573	0.000	58.421	RUM	0	N	0
8	Spectrogram 1	1	2916.487122188	2919.703232634	0.000	146.842	RUM	3	N	0
9	Spectrogram 1	1	2921.606644939	2923.575692151	0.000	40.526	RUM	1	N	0
10	Spectrogram 1	1	2951.076718921	2958.821637955	0.000	178.421	RUM	3	N	0
11	Spectrogram 1	1	3103.349704729	3109.191211457	0.000	147.895	RUM	3	N	1
12	Spectrogram 1	1	3463.619712149	3469.329949063	0.000	206.316	RUM	3	N	0
