Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	437.097736056	440.996250637	0.000	913.000	ROAR	2	N	0
3	Spectrogram 1	1	444.801943442	450.649715313	0.000	918.900	ROAR	2	N	o
4	Spectrogram 1	1	464.619389844	470.833603713	0.000	232.700	RUM	3	N	1
5	Spectrogram 1	1	474.246618881	479.858403435	0.000	249.100	RUM	3	N	0
6	Spectrogram 1	1	492.975501963	498.869684722	0.000	216.300	RUM	3	N	1
7	Spectrogram 1	1	517.805326971	523.745920618	0.000	249.100	RUM	3	N	1
8	Spectrogram 1	1	537.297899875	542.820795531	0.000	185.000	RUM	3	N	1
9	Spectrogram 1	1	560.550699502	566.816169364	0.000	180.500	RUM	3	N	1
10	Spectrogram 1	1	579.161465537	586.030276941	0.000	186.500	RUM	3	N	0
11	Spectrogram 1	1	594.407441106	599.837514987	0.000	161.400	RUM	1	N	1
12	Spectrogram 1	1	620.165483872	623.599889574	0.000	1493.700	ROAR	2	N	0
13	Spectrogram 1	1	624.713750883	631.582562287	0.000	696.200	ROAR	2	Y	0
14	Spectrogram 1	1	630.979220745	634.135161120	0.000	803.800	ROAR	2	Y	1
15	Spectrogram 1	1	635.107679178	637.634623099	0.000	789.000	ROAR	1	Y	0
16	Spectrogram 1	1	635.829663155	640.391289196	0.000	561.200	RUM	2	Y	1
17	Spectrogram 1	1	639.997479754	645.510811947	0.000	560.900	ROAR	2	Y	1
18	Spectrogram 1	1	643.673034549	648.825374753	0.000	486.300	RUM	2	Y	1
19	Spectrogram 1	1	652.632199363	656.603111240	0.000	568.400	ROAR	1	Y	1
20	Spectrogram 1	1	672.322665238	677.868814885	0.000	311.800	RUM	3	Y	2
21	Spectrogram 1	1	675.341870963	679.805044643	0.000	190.900	RUM	1	Y	1
22	Spectrogram 1	1	684.924568033	689.814368610	0.000	173.000	RUM	3	N	1
23	Spectrogram 1	1	696.082502234	702.416270766	0.000	202.500	RUM	3	N	2
24	Spectrogram 1	1	703.925873628	710.915991230	0.000	180.400	RUM	1	N	1
25	Spectrogram 1	1	723.386624212	729.260948394	0.000	174.100	RUM	3	N	2
26	Spectrogram 1	1	743.963167575	747.934079453	0.000	149.800	RUM	2	N	1
27	Spectrogram 1	1	766.869750780	772.776892415	0.000	158.800	RUM	3	RUM	1
28	Spectrogram 1	1	776.879065709	783.311286601	0.000	154.000	RUM	3	N	2
29	Spectrogram 1	1	785.149063999	791.318745262	0.000	172.500	RUM	3	N	2
30	Spectrogram 1	1	793.123705207	798.932394482	0.000	211.500	RUM	3	n	2
31	Spectrogram 1	1	807.727470973	812.846993724	0.000	174.100	RUM	3	N	1
32	Spectrogram 1	1	837.853893954	844.548654474	0.000	161.400	RUM	3	Y	1
33	Spectrogram 1	1	841.956075645	846.878693675	0.000	153.000	RUM	1	Y	1
34	Spectrogram 1	1	846.714606407	852.982740032	0.000	179.900	RUM	3	Y	2
35	Spectrogram 1	1	851.407502262	855.312779232	0.000	194.100	RUM	1	Y	1
36	Spectrogram 1	1	887.703606507	891.937058013	0.000	156.600	RUM	2	Y	0
37	Spectrogram 1	1	899.288168243	903.259080121	0.000	173.000	RUM	2	N	0
39	Spectrogram 1	1	1615.660375445	1617.891962285	0.000	148.700	RUM	2	N	0
40	Spectrogram 1	1	2070.313382869	2073.234136234	0.000	154.000	RUM	1	N	1
41	Spectrogram 1	1	2462.153784011	2466.223148249	0.000	197.800	RUM	1	N	0
42	Spectrogram 1	1	2612.523357594	2618.889943579	0.000	173.000	RUM	3	N	1
43	Spectrogram 1	1	2628.833632716	2630.983175922	0.000	578.800	ROAR	3	Y	0
44	Spectrogram 1	1	2629.522799240	2633.280397669	0.000	204.100	RUM	2	Y	0
45	Spectrogram 1	1	2647.416515778	2653.454927227	0.000	205.900	RUM	2	Y	1
46	Spectrogram 1	1	2701.138687880	2705.700313920	0.000	182.000	RUM	1	N	1
47	Spectrogram 1	1	2710.130670147	2715.151740537	0.000	216.300	RUM	2	N	0
48	Spectrogram 1	1	2725.653326307	2730.641579244	0.000	167.800	RUM	1	N	1
49	Spectrogram 1	1	2737.795784113	2740.552450210	0.000	173.000	RUM	1	N	1
50	Spectrogram 1	1	2774.288793080	2778.128435143	0.000	161.100	RUM	0	N	0
51	Spectrogram 1	1	3098.886232598	3104.662104419	0.000	207.400	RUM	1	Y	0
52	Spectrogram 1	1	3488.232507271	3491.645522438	0.000	226.000	RUM	2	N	0
53	Spectrogram 1	1	3497.322941899	3500.768774520	0.000	202.900	RUM	1	N	1
