Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	106.120687143	112.859934803	0.000	161.549	RUM	4	N	0
2	Spectrogram 1	1	624.054337914	628.637026323	0.000	206.571	RUM	3	N	1
3	Spectrogram 1	1	709.597854880	716.067532634	0.000	162.873	RUM	3	N	1
4	Spectrogram 1	1	790.828254654	797.657358950	0.000	142.322	RUM	3	N	1
5	Spectrogram 1	1	885.986431615	892.815535910	0.000	165.730	RUM	3	N	0
6	Spectrogram 1	1	969.912530453	978.359054187	0.000	161.985	RUM	3	N	0
7	Spectrogram 1	1	1040.989129108	1046.200813965	0.000	147.940	RUM	2	N	0
8	Spectrogram 1	1	1095.082824315	1102.900351601	0.000	161.985	RUM	3	N	1
9	Spectrogram 1	1	1128.779062616	1134.350174015	0.000	151.685	RUM	3	N	1
10	Spectrogram 1	1	1150.344655784	1156.544763631	0.000	139.045	RUM	1	N	1
11	Spectrogram 1	1	1214.592150144	1219.624121730	0.000	153.090	RUM	3	N	1
12	Spectrogram 1	1	1301.483517297	1306.515488883	0.000	166.199	RUM	3	N	0
13	Spectrogram 1	1	1386.469146102	1392.251125603	0.000	147.940	RUM	2	N	1
14	Spectrogram 1	1	1530.700942164	1535.148618703	0.000	164.326	RUM	3	N	1
15	Spectrogram 1	1	1573.716328810	1580.133690674	0.000	165.262	RUM	3	N	0
16	Spectrogram 1	1	1615.143259550	1619.463859617	0.000	160.112	RUM	3	N	1
17	Spectrogram 1	1	1754.355536605	1757.405371946	0.000	144.195	RUM	2	N	0
18	Spectrogram 1	1	1862.243461518	1867.644211601	0.000	165.262	RUM	2	N	0
19	Spectrogram 1	1	2329.948421317	2337.318856725	0.000	601.173	RUM	4	N	0
20	Spectrogram 1	1	2598.333934095	2602.654534162	0.000	169.476	RUM	3	N	0
21	Spectrogram 1	1	2607.356363646	2611.549887240	0.000	161.985	RUM	3	N	0
22	Spectrogram 1	1	3428.969305864	3436.212664799	0.000	157.772	RUM	2	N	1
