Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	766.615051188	770.606387545	0.000	135.193	RUM	0	N	0
2	Spectrogram 1	1	872.803163303	877.444252090	0.000	151.824	RUM	0	N	1
3	Spectrogram 1	1	914.890515885	919.878768822	0.000	143.777	RUM	3	N	2
4	Spectrogram 1	1	926.967338784	930.380353952	0.000	141.631	RUM	0	N	0
5	Spectrogram 1	1	963.000903473	967.923521503	0.000	145.923	RUM	2	N	1
6	Spectrogram 1	1	1002.710022246	1007.763910089	0.000	140.021	RUM	0	N	1
7	Spectrogram 1	1	1029.423430132	1037.233984072	0.000	153.433	RUM	2	N	1
8	Spectrogram 1	1	1058.762233588	1063.487946897	0.000	159.871	RUM	0	N	1
9	Spectrogram 1	1	1096.239766232	1101.884368240	0.000	141.631	RUM	2	N	1
10	Spectrogram 1	1	1111.138890135	1115.930238351	0.000	142.167	RUM	0	N	1
11	Spectrogram 1	1	1140.149519769	1144.875233077	0.000	151.288	RUM	2	N	0
12	Spectrogram 1	1	1155.639357835	1160.102531515	0.000	139.485	RUM	1	N	1
13	Spectrogram 1	1	1180.843162147	1185.700145270	0.000	154.506	RUM	2	N	1
14	Spectrogram 1	1	1192.854350139	1197.120619098	0.000	137.876	RUM	2	N	2
15	Spectrogram 1	1	1205.981332264	1210.050696501	0.000	144.850	RUM	2	N	1
16	Spectrogram 1	1	1218.255059884	1225.934344010	0.000	152.361	RUM	0	N	1
17	Spectrogram 1	1	1238.601881073	1243.393229289	0.000	134.657	RUM	0	N	1
18	Spectrogram 1	1	1258.489257913	1264.658939177	0.000	159.871	RUM	3	N	1
19	Spectrogram 1	1	1268.793939034	1273.716557063	0.000	155.579	RUM	1	N	1
20	Spectrogram 1	1	1289.337664944	1295.113536765	0.000	148.605	RUM	2	N	1
21	Spectrogram 1	1	1442.332634729	1446.927078223	0.000	148.069	RUM	1	N	2
22	Spectrogram 1	1	1465.961201983	1470.293105849	0.000	147.532	RUM	2	N	1
23	Spectrogram 1	1	1560.803643399	1564.938642544	0.000	155.043	RUM	2	N	1
24	Spectrogram 1	1	1588.042130542	1594.539986341	0.000	131.974	RUM	0	N	1
25	Spectrogram 1	1	1619.415616118	1624.666408683	0.000	136.803	RUM	1	N	1
26	Spectrogram 1	1	1640.681326006	1643.175452474	0.000	141.094	RUM	1	N	1
27	Spectrogram 1	1	1676.321079539	1679.865364520	0.000	138.412	RUM	0	N	1
28	Spectrogram 1	1	1884.646276689	1888.518736205	0.000	143.777	RUM	2	N	0
29	Spectrogram 1	1	2207.504385653	2213.674066917	0.000	144.313	RUM	0	N	1
30	Spectrogram 1	1	2221.484620858	2227.194857772	0.000	140.021	RUM	3	N	2
31	Spectrogram 1	1	2257.649454649	2265.000564240	0.000	163.627	RUM	2	N	2
32	Spectrogram 1	1	2306.153651679	2309.566666847	0.000	137.339	RUM	0	N	0
33	Spectrogram 1	1	2356.758165736	2362.140228115	0.000	156.652	RUM	2	N	1
34	Spectrogram 1	1	2714.599683308	2720.506824944	0.000	185.086	RUM	3	N	0
35	Spectrogram 1	1	2793.886651751	2799.399983944	0.000	198.498	RUM	4	N	0
36	Spectrogram 1	1	2840.290531755	2848.954339488	0.000	202.790	RUM	3	N	0
37	Spectrogram 1	1	2872.648540937	2875.733381569	0.000	150.215	RUM	2	N	0
38	Spectrogram 1	1	2885.906792164	2889.713616773	0.000	167.382	RUM	2	N	1
39	Spectrogram 1	1	2898.049249970	2902.906233093	0.000	160.408	RUM	3	N	1
40	Spectrogram 1	1	2941.499559157	2947.931780049	0.000	151.824	RUM	2	N	1
41	Spectrogram 1	1	3019.539464365	3025.643510722	0.000	174.893	RUM	3	N	0
42	Spectrogram 1	1	3101.780002624	3107.621509353	0.000	185.622	RUM	4	N	0
