Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	210.055679836	213.768550865	0.000	604.742	ROAR	2	Y	0
3	Spectrogram 1	1	212.497890363	216.698524415	0.000	165.367	RUM	2	Y	1
4	Spectrogram 1	1	1521.454854370	1530.053027195	0.000	200.445	RUM	4	N	0
5	Spectrogram 1	1	1530.775011172	1535.238184853	0.000	213.252	RUM	1	N	0
6	Spectrogram 1	1	1656.072048464	1658.697444746	0.000	55.679	RUM	1	N	0
7	Spectrogram 1	1	1682.916725452	1685.542121735	0.000	58.463	RUM	1	N	0
8	Spectrogram 1	1	1985.690555288	1991.794601645	0.000	148.664	RUM	2	N	2
9	Spectrogram 1	1	2195.590988494	2200.907415966	0.000	213.252	RUM	3	N	0
10	Spectrogram 1	1	2255.450024446	2261.947880245	0.000	206.013	RUM	3	N	2
11	Spectrogram 1	1	2269.036450208	2273.237084260	0.000	185.969	RUM	2	N	1
12	Spectrogram 1	1	2320.428583149	2326.270089878	0.000	155.345	RUM	RUM	N	1
13	Spectrogram 1	1	2392.692616536	2397.877774194	0.000	139.198	RUM	3	N	1
14	Spectrogram 1	1	2512.673228069	2518.383464984	0.000	145.880	RUM	2	N	1
15	Spectrogram 1	1	3050.091853498	3054.620662086	0.000	170.935	RUM	3	N	0
16	Spectrogram 1	1	3259.532844069	3264.849271541	0.000	156.459	RUM	2	N	1
