Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	call_type	quality	overlap	earflap
1	Spectrogram 1	1	17.261980557	20.937535353	0.000	158.500	RUM	2	N	0
2	Spectrogram 1	1	93.135933833	98.124186769	0.000	157.000	RUM	2	N	0
3	Spectrogram 1	1	123.787435431	128.513148739	0.000	140.500	RUM	1	N	0
4	Spectrogram 1	1	160.346079376	165.399967220	0.000	151.000	RUM	2	N	0
5	Spectrogram 1	1	182.858852498	187.584565807	0.000	147.000	RUM	2	N	0
6	Spectrogram 1	1	214.954322763	221.124004027	0.000	153.000	RUM	3	N	0
7	Spectrogram 1	1	242.192809194	247.903046108	0.000	153.000	RUM	2	N	1
8	Spectrogram 1	1	274.878991909	280.064149567	0.000	159.000	RUM	2	N	0
9	Spectrogram 1	1	309.206048303	314.785015403	0.000	152.000	RUM	2	N	1
10	Spectrogram 1	1	325.286600533	329.093425142	0.000	151.500	RUM	2	N	1
11	Spectrogram 1	1	355.938102843	360.860720872	0.000	160.000	RUM	2	N	0
12	Spectrogram 1	1	389.083730909	394.137618753	0.000	150.000	RUM	2	N	1
13	Spectrogram 1	1	483.335458873	489.636409951	0.000	147.500	RUM	3	N	1
14	Spectrogram 1	1	494.952837423	499.022201661	0.000	156.000	RUM	2	N	1
15	Spectrogram 1	1	563.147505411	565.838536601	0.000	128.500	RUM	0	N	0
16	Spectrogram 1	1	627.994794300	631.735984003	0.000	161.500	RUM	2	N	0
17	Spectrogram 1	1	661.140423078	667.244469435	0.000	156.000	RUM	3	N	1
18	Spectrogram 1	1	700.521367316	705.969064602	0.000	163.500	RUM	3	N	0
19	Spectrogram 1	1	722.968506243	729.663266763	0.000	167.000	RUM	3	N	0
20	Spectrogram 1	1	735.701678213	740.886835870	0.000	164.000	RUM	3	N	0
21	Spectrogram 1	1	774.229368658	778.364367803	0.000	208.500	RUM	3	N	0
22	Spectrogram 1	1	827.590545714	831.069195788	0.000	143.000	RUM	1	N	1
23	Spectrogram 1	1	839.667368613	843.539828130	0.000	146.000	RUM	1	N	0
24	Spectrogram 1	1	866.577680508	869.203076791	0.000	149.000	RUM	0	N	0
25	Spectrogram 1	1	869.006172070	871.762838166	0.000	143.000	RUM	0	N	0
26	Spectrogram 1	1	886.268152627	891.518945192	0.000	151.000	RUM	2	N	0
27	Spectrogram 1	1	907.271323599	911.734497279	0.000	151.000	RUM	2	N	0
28	Spectrogram 1	1	939.826237501	943.107982854	0.000	137.500	RUM	1	N	0
29	Spectrogram 1	1	969.624486019	974.547104049	0.000	158.000	RUM	3	N	1
30	Spectrogram 1	1	1112.839854652	1117.631202868	0.000	173.000	RUM	3	N	0
31	Spectrogram 1	1	1117.696837775	1122.750725618	0.000	180.000	RUM	0	N	0
32	Spectrogram 1	1	1124.063423760	1128.264057812	0.000	147.000	RUM	2	N	0
33	Spectrogram 1	1	1154.649291162	1160.096988448	0.000	169.500	RUM	3	N	0
34	Spectrogram 1	1	1192.717537258	1199.412297779	0.000	168.000	RUM	3	N	1
35	Spectrogram 1	1	1223.697214103	1227.963483062	0.000	162.000	RUM	3	N	0
36	Spectrogram 1	1	1244.372209828	1247.588320274	0.000	137.500	RUM	1	N	0
37	Spectrogram 1	1	1283.950059498	1288.216328457	0.000	189.000	RUM	3	N	0
38	Spectrogram 1	1	1333.635684144	1340.002270129	0.000	165.500	RUM	3	N	1
39	Spectrogram 1	1	1369.734883740	1373.607343256	0.000	181.500	RUM	3	N	0
40	Spectrogram 1	1	1404.521385194	1410.494161737	0.000	160.500	RUM	2	N	0
41	Spectrogram 1	1	1458.670183520	1466.283832740	0.000	186.500	RUM	3	N	1
42	Spectrogram 1	1	1475.144545905	1480.264068656	0.000	173.000	RUM	3	N	0
43	Spectrogram 1	1	1498.444937912	1503.892635198	0.000	200.000	RUM	3	N	0
44	Spectrogram 1	1	1526.339774125	1532.903264831	0.000	198.000	RUM	3	N	0
45	Spectrogram 1	1	1561.454449403	1567.624130667	0.000	176.000	RUM	3	N	0
46	Spectrogram 1	1	1569.658812786	1573.859446838	0.000	154.500	RUM	0	N	0
47	Spectrogram 1	1	1643.629353756	1649.208320857	0.000	163.500	RUM	3	N	0
48	Spectrogram 1	1	2219.247495807	2224.367018558	0.000	160.500	RUM	3	N	1
49	Spectrogram 1	1	2423.962773069	2427.835232586	0.000	143.000	RUM	2	N	0
50	Spectrogram 1	1	2608.659401252	2612.925670211	0.000	162.000	RUM	2	N	0
51	Spectrogram 1	1	3145.356042703	3148.178343707	0.000	177.000	RUM	1	N	0
