Selection	View	Channel	Event	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Site	Begin Hour	File Start Date	Begin Date	Score	Count	Measurable	Harmonics	Ambiguous	Notes	Analyst	Rand	Deployment	Sound Problems	Call Criteria	Disk
1	Spectrogram	1	Rumble	511.6667610406876	517.8274101018906	43.540045619010925	243.9272552728653	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250606_230140.wav	511.6667610406876	Arden_20250606_230140.wav	Arden	23	06/06/2025	06/06/2025	0.6148529052734375											
2	Spectrogram	1	Rumble	738.6493747234344	745.5402283668373	102.95521467924118	246.5529441833496	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250606_230140.wav	738.6493747234344	Arden_20250606_230140.wav	Arden	23	06/06/2025	06/06/2025	0.5590506196022034											
3	Spectrogram	1	Rumble	951.3209270238876	959.4126592874527	119.5269525051117	245.0106143951416	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250606_230140.wav	951.3209270238876	Arden_20250606_230140.wav	Arden	23	06/06/2025	06/06/2025	0.8232668042182922											
4	Spectrogram	1	Rumble	1581.985033273697	1586.9586355686188	111.2099215388298	241.9939637184143	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250606_230140.wav	1581.985033273697	Arden_20250606_230140.wav	Arden	23	06/06/2025	06/06/2025	0.7953179478645325											
5	Spectrogram	1	Rumble	1568.636050403118	1573.5986043214796	11.229857802391052	241.12041294574735	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250606_230140.wav	1568.636050403118	Arden_20250606_230140.wav	Arden	23	06/06/2025	06/06/2025	0.6932525634765625											
6	Spectrogram	1	Rumble	2176.0034181177616	2180.9392650723603	109.67092216014862	246.76944315433505	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250606_230140.wav	2176.0034181177616	Arden_20250606_230140.wav	Arden	23	06/06/2025	06/06/2025	0.7290470600128174											
7	Spectrogram	1	Rumble	2174.144291102886	2176.2749049067643	209.47733521461487	223.88169169425964	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250606_230140.wav	2174.144291102886	Arden_20250606_230140.wav	Arden	23	06/06/2025	06/06/2025	0.2563920617103576											
8	Spectrogram	1	Rumble	2590.9710128307343	2596.4602255821374	109.24491286277772	247.4966943264008	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250606_230140.wav	2590.9710128307343	Arden_20250606_230140.wav	Arden	23	06/06/2025	06/06/2025	0.7854851484298706											
9	Spectrogram	1	Rumble	2483.3754421770573	2487.609048843384	126.75487995147704	234.31438207626343	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250606_230140.wav	2483.3754421770573	Arden_20250606_230140.wav	Arden	23	06/06/2025	06/06/2025	0.616966724395752											
10	Spectrogram	1	Rumble	2675.113620996475	2680.4955269098427	33.96229445934296	240.98964035511017	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250606_230140.wav	2675.113620996475	Arden_20250606_230140.wav	Arden	23	06/06/2025	06/06/2025	0.7594080567359924											
