Selection	View	Channel	Event	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Site	Begin Hour	File Start Date	Begin Date	Score	Count	Measurable	Harmonics	Ambiguous	Notes	Analyst	Rand	Deployment	Sound Problems	Call Criteria	Disk
1	Spectrogram	1	Rumble	765.4320862293243	770.2668323516846	111.07435077428818	242.81254410743716	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	765.4320862293243	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.7248867750167847											
2	Spectrogram	1	Rumble	869.8127982616425	874.6497340202332	111.86425387859344	245.30936777591705	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	869.8127982616425	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.8080092072486877											
3	Spectrogram	1	Rumble	950.8106342554092	953.6985836029053	111.33234202861786	243.29157173633573	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	950.8106342554092	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.3774638772010803											
4	Spectrogram	1	Rumble	1057.9036357402802	1061.8285293579102	224.2985963821411	233.97088050842285	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	1057.9036357402802	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.2656388282775879											
5	Spectrogram	1	Rumble	1487.6000986099243	1492.6638181209564	116.05527251958848	240.1237785816193	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	1487.6000986099243	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.8290844559669495											
6	Spectrogram	1	Rumble	1501.1380133628843	1506.4966299533842	108.75695198774338	243.2786226272583	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	1501.1380133628843	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.8190457224845886											
7	Spectrogram	1	Rumble	1441.9291450977323	1448.3185622692106	120.18945813179016	239.6655380725861	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	1441.9291450977323	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.7226690649986267											
8	Spectrogram	1	Rumble	1461.9936225414276	1468.8968319892883	109.35628414154051	240.53338170051572	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	1461.9936225414276	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.6923697590827942											
9	Spectrogram	1	Rumble	1476.0961310863495	1482.1967997550964	107.55676031112672	240.1604652404785	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	1476.0961310863495	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.6083852648735046											
10	Spectrogram	1	Rumble	1534.1672389507294	1539.1588568686857	219.04277801513672	243.16424131393435	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	1534.1672389507294	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.2703972458839416											
11	Spectrogram	1	Rumble	1579.5869417190552	1585.3252744674683	106.57986998558044	242.9070770740509	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	1579.5869417190552	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.8175049424171448											
12	Spectrogram	1	Rumble	1642.3368427753448	1646.9513251781464	108.88630151748656	247.30947613716123	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	1642.3368427753448	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.7706792950630188											
13	Spectrogram	1	Rumble	1567.7972902059555	1574.8843215703382	112.8401830792427	244.19134855270383	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	1567.7972902059555	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.7255060076713562											
14	Spectrogram	1	Rumble	1610.2824647426603	1615.9435834884641	207.3228359222412	239.0602827072144	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	1610.2824647426603	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.3068877756595611											
15	Spectrogram	1	Rumble	3358.2451112270355	3364.6731793880463	119.06352639198305	248.1313943862915	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	3358.2451112270355	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.8239729404449463											
16	Spectrogram	1	Rumble	3370.5629782676697	3376.1924743652344	112.80368268489838	241.50092899799347	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_220135.wav	3370.5629782676697	Arden_20250608_220135.wav	Arden	22	06/08/2025	06/08/2025	0.8150177001953125											
