Selection	View	Channel	Event	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Site	Begin Hour	File Start Date	Begin Date	Score	Count	Measurable	Harmonics	Ambiguous	Notes	Analyst	Rand	Deployment	Sound Problems	Call Criteria	Disk
1	Spectrogram	1	Rumble	115.40999746322632	120.46500730517437	94.90227699279784	241.33703112602237	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	115.40999746322632	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.6355387568473816											
2	Spectrogram	1	Rumble	71.75810849666595	76.63755643367767	121.10699713230132	243.0027276277542	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	71.75810849666595	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.4960627257823944											
3	Spectrogram	1	Rumble	30.698235630989075	36.08390009403229	118.56497824192049	243.97481977939609	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	30.698235630989075	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.4154969751834869											
4	Spectrogram	1	Rumble	40.42174053192139	44.43856465816498	123.8100528717041	243.7843680381775	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	40.42174053192139	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.3370739221572876											
5	Spectrogram	1	Rumble	94.91394662857056	98.65371823310852	219.548374414444	233.3722412586212	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	94.91394662857056	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.3122215569019317											
6	Spectrogram	1	Rumble	179.01179921627045	183.9884513616562	125.51131844520567	247.88761138916016	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	179.01179921627045	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.7137229442596436											
7	Spectrogram	1	Rumble	221.73550724983212	227.0409958362579	218.1755155324936	238.26299607753757	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	221.73550724983212	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.434140682220459											
8	Spectrogram	1	Rumble	424.714209318161	429.3721618652344	116.42607301473618	240.6807243824005	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	424.714209318161	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.8497668504714966											
9	Spectrogram	1	Rumble	381.4950618743897	386.11100077629095	108.3589717745781	239.88598585128784	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	381.4950618743897	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.6219738721847534											
10	Spectrogram	1	Rumble	394.7694480419159	401.115483045578	108.2662120461464	244.1984713077545	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	394.7694480419159	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.5845799446105957											
11	Spectrogram	1	Rumble	381.45202672481537	385.9632247686386	109.26850885152815	178.26244235038757	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	381.45202672481537	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.3079751431941986											
12	Spectrogram	1	Rumble	473.6383271217346	477.50108003619243	222.0466583967209	234.8662465810776	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250607_140055.wav	473.6383271217346	Arden_20250607_140055.wav	Arden	14	06/07/2025	06/07/2025	0.3113194704055786											
