Selection	View	Channel	Event	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Site	Begin Hour	File Start Date	Begin Date	Score	Count	Measurable	Harmonics	Ambiguous	Notes	Analyst	Rand	Deployment	Sound Problems	Call Criteria	Disk
1	Spectrogram	1	Rumble	1750.9140561819077	1755.6971454620361	106.41508549451828	234.3811392784119	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_140055.wav	1750.9140561819077	Arden_20250608_140055.wav	Arden	14	06/08/2025	06/08/2025	0.5977243781089783											
2	Spectrogram	1	Rumble	1759.4089210033417	1762.8920261860185	188.89549374580383	235.6707751750946	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_140055.wav	1759.4089210033417	Arden_20250608_140055.wav	Arden	14	06/08/2025	06/08/2025	0.5253549218177795											
3	Spectrogram	1	Rumble	1962.462236881256	1967.6791038512602	84.63408052921295	241.9765442609787	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_140055.wav	1962.462236881256	Arden_20250608_140055.wav	Arden	14	06/08/2025	06/08/2025	0.6398394703865051											
4	Spectrogram	1	Rumble	1908.5140380859373	1911.8178325891201	192.1258419752121	242.65246093273163	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_140055.wav	1908.5140380859373	Arden_20250608_140055.wav	Arden	14	06/08/2025	06/08/2025	0.401449590921402											
5	Spectrogram	1	Rumble	1944.2247958183289	1948.7481541633315	195.64300775527957	245.15756964683533	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_140055.wav	1944.2247958183289	Arden_20250608_140055.wav	Arden	14	06/08/2025	06/08/2025	0.2659237682819366											
6	Spectrogram	1	Rumble	2036.0481908917427	2040.278778255015	213.97659182548523	232.3802709579468	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_140055.wav	2036.0481908917427	Arden_20250608_140055.wav	Arden	14	06/08/2025	06/08/2025	0.2924606204032898											
7	Spectrogram	1	Rumble	2291.0920803546906	2294.821588039398	208.91299843788147	232.88941383361816	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_140055.wav	2291.0920803546906	Arden_20250608_140055.wav	Arden	14	06/08/2025	06/08/2025	0.5490475296974182											
8	Spectrogram	1	Rumble	2214.723086714745	2219.831219673157	121.25743180513382	244.58956718444824	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_140055.wav	2214.723086714745	Arden_20250608_140055.wav	Arden	14	06/08/2025	06/08/2025	0.4919202625751495											
9	Spectrogram	1	Rumble	2302.216497898102	2308.6649765968323	217.7160233259201	235.56439578533173	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_140055.wav	2302.216497898102	Arden_20250608_140055.wav	Arden	14	06/08/2025	06/08/2025	0.4481273889541626											
10	Spectrogram	1	Rumble	2202.006588578224	2206.7547023296065	127.72759795188904	243.3396279811859	C:\Users\C836843015\Box\A3EM-Acoustic-Data\deployments\elephantsSamburu2025\09\audiomoth\audiomoth_downsampled\Arden_20250608_140055.wav	2202.006588578224	Arden_20250608_140055.wav	Arden	14	06/08/2025	06/08/2025	0.3243033587932586											
